!----------------------------------------------------------------------------------
! This is comment line
! Line start with ! or blank line will be ignored by the program
!--------------------------------------------------------------------------------------
!Parameter    AtLine         StartPosition  EndPosition   RoundUp    AbsoluteMin   AbsoluteMin
!--------------------------------------------------------------------------------------
LAT_ORGN.gw      15              1              16            4          0.0	    200.0
LAT_ORGP.gw      16              1              16            4          0.0	    200.0
ALPHA_BF_D.gw    17              1              16            4          0.0	      0.0001
!------------------------------------------------------------------------------------------
RE.sdr           2               1              10            2          0.0        Inf
SDRAIN.sdr       3               1              10            2          0.0        Inf
DRAIN_CO.sdr     4               1              10            2          0.0        Inf
PC.sdr           5               1              10            2          0.0        Inf
LATKSATF.sdr     6               1              10            2          0.0        Inf
!------------------------------------------------------------------------------------------
ISEP_TYP.sep              3      1              13            0          0.0        Inf
ISEP_IYR.sep              4      1              13            0          0.0        Inf
ISEP_OPT.sep              5      1              13            0          0.0        Inf
SEP_CAP.sep               6      1              13            1          0.0        Inf
BZ_AREA.sep               7      1              13            3          0.0        Inf
ISEP_TFAIL.sep            8      1              13            0          0.0        Inf
BZ_Z.sep                  9      1              13            3          0.0        Inf
BZ_THK.sep               10      1              13            3          0.0        Inf
SEP_STRM_DIST.sep        11      1              13            3          0.0        Inf
SEP_DEN.sep              12      1              13            3          0.0        Inf
BIO_BD.sep               13      1              13            3          0.0        Inf
COEFF_BOD_DC.sep         14      1              13            3          0.0        Inf
COEFF_BOD_CONV.sep       15      1              13            3          0.0        Inf
COEFF_FC1.sep            16      1              13            3          0.0        Inf
COEFF_FC2.sep            17      1              13            3          0.0        Inf
COEFF_FECAL.sep          18      1              13            3          0.0        Inf
COEFF_PLQ.sep            19      1              13            3          0.0        Inf
COEFF_MRT.sep            20      1              13            3          0.0        Inf
COEFF_RSP.sep            21      1              13            3          0.0        Inf
COEFF_SLG1.sep           22      1              13            5          0.0        Inf
COEFF_SLG2.sep           23      1              13            3          0.0        Inf
COEFF_NITR.sep           24      1              13            3          0.0        Inf
COEFF_DENITR.sep         25      1              13            3          0.0        Inf
COEFF_COEFF_PDISTRB.sep  26      1              13            5          0.0        Inf
COEFF_PSORPMAX.sep       27      1              13            3          0.0        Inf
COEFF_SOLPSLP.sep        28      1              13            3          0.0        Inf
COEFF_SOLPINTC.sep       29      1              13            3          0.0        Inf
!--------------------------------------------------------------------------------------
SOL_ZMX.sol       4             29              36            2          0.0	   3500.0
ANION_EXCL.sol    5             51              56            3          0.01	      1.0
SOL_CRK.sol       6             33              38            3          0.0	      1.0
SOL_Z.sol         8             28              39            2          0.0	   3500.0
SOL_BD.sol        9             28              39            2          0.9	      2.5
SOL_AWC.sol      10             28              39            2          0.0	      1.0
SOL_K.sol        11             28              39            2          0.0	    2000.0
SOL_CBN.sol      12             28              39            2          0.05	      10.0
SOL_CLAY.sol     13             28              39            2          0.0	     100.0
SOL_SILT.sol     14             28              39            2          0.0	     100.0
SOL_SAND.sol     15             28              39            2          0.0	     100.0
SOL_ROCK.sol     16             28              39            2          0.0	     100.0
SOL_ALB.sol      17             28              39            2          0.0	       0.25
USLE_K.sol       18             28              39            2          0.0	       0.65
SOL_EC.sol       19             28              39            2          0.0	     100.0
SOL_CAL.sol      20             28              39            2         -Inf	      Inf
SOL_PH.sol       21             28              39            2         -Inf	      Inf
!-----------------------------------------------------------------------------------------
CHW2.rte          2              1              14            3          0.0	    1000.0
CHD.rte           3              1              14            3          0.0	      30.0
CH_S2.rte         4              1              14            5         -0.001	      10.0
CH_L2.rte         5              1              14            3         -0.05	     500.0
CH_N2.rte         6              1              14            3         -0.01	       0.3
CH_K2.rte         7              1              14            3        -0.01	     500.0
CH_COV1.rte       8              1              14            3         -0.05	       0.6
CH_COV2.rte       9              1              14            3         -0.001         1.0
